book_id,title,author,genres,category,description
81,An autobiography,Mohandas Karamchand Gandhi,"Classic, Psychology",Biography,"Gandhi's non-violent struggles against racism, violence, and colonialism in South Africa and India had brought him to such a level of notoriety, adulation that when asked to write an autobiography midway through his career, he took it as an opportunity to explain himself. He feared the enthusiasm for his ideas tended to exceed a deeper understanding of his quest for truth rooted in devotion to God. His attempts to get closer to this divine power led him to seek purity through simple living,..."
82,The Secret Garden,Frances Hodgson Burnett,"Fantasy, Classic",Non-Fiction,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden....
83,Madame Bovary,Gustave Flaubert,"Classic, Romance",Non-Fiction,"Charles Bovary, médecin de campagne, veuf d'une mégère, fait lors d'une tournée la rencontre du père Rouault et de sa fille, Emma. Après leur mariage, Emma reste insatisfaite et rêve d'une nouvelle vie. Son premier amant lui donne le goût du luxe et fait miroiter un avenir à deux avant de l'abandonner. Une fois remise, Emma continue à faire de folles dépenses, qui peu à peu la mènent à la ruine et au déshonneur. (Résumé par Nadine)


----------
See also:

 - [Madame Bovary: 1/2](https..."
84,The Art of War,孙武,"Education, Psychology",Non-Fiction,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period. The work, which is attributed to the ancient Chinese military strategist Sun Tzu..."
85,Записки изъ подполья,Фёдор Михайлович Достоевский,"Classic, Psychology",Non-Fiction,"Its nameless hero is a profoundly alienated individual in whose brooding self-analysis there is a search for the true and the good in a world of relative values and few absolutes. Moreover, the novel introduces themes — moral, religious, political and social — that dominated Dostoyevsky's later works...."
86,πολιτεία,Πλάτων,Education,Non-Fiction,The Republic is Plato's most famous work and one of the seminal texts of Western philosophy and politics. The characters in this Socratic dialogue - including Socrates himself - discuss whether the just or unjust man is happier. They are the philosopher-kings of imagined cities and they also discuss the nature of philosophy and the soul among other things....
87,Tao te Ching,老子,"Education, Psychology",Non-Fiction,"""Within ancient Chinese, a sole character possesses a broad, and sometimes contradictory, range of meanings. Moreover, the Tao Te Ching is rife with terms and expressions that have no exact counterpart in English. So while the Tao Te Ching ranks behind only the Bible as the most widely translated book in the world, it remains one of the least understood."".

""Jonathan Star's Tao Te Ching: The Definitive Edition helps remedy this situation. The distinction of this new edition is that it sup..."
88,Also sprach Zarathustra,Friedrich Nietzsche,Classic,Non-Fiction,"A landmark work of philosophy and of literature, Thus Spoke Zarathustra is the fullest expression of Nietzche's belief that ""the object of mankind should lie in its highest individuals."" In his thirtieth year Zarathustra - the archetypal Ubermensch representative of supreme passion and creativity - abandons his home for the mountains, where he lives, literally and figuratively, on a level of experience far above the conventional standards of good and evil. The exuberant, poetic testimony of..."
89,Romeo and Juliet,William Shakespeare,"Classic, Drama",Non-Fiction,"Romeo and Juliet is a tragedy written by William Shakespeare early in his career about two young Italian star-crossed lovers whose deaths ultimately reconcile their feuding families. It was among Shakespeare's most popular plays during his lifetime and, along with Hamlet, is one of his most frequently performed plays. Today, the title characters are regarded as archetypal young lovers...."
90,Two years before the mast,Richard Henry Dana,"Adventure, Classic",Biography,"*Two Years before the Mast* is but an episode in the life of Richard Henry Dana, Jr., yet the narrative in which he details the experiences of that period is, perhaps, his chief claim to a wide remembrance. 

His services in fields other than literary occupied the greater part of his life. Dana was a well known and respected lawyer, a stalwart abolitionist, and an advocate for the rights of common sailors. He and his wife, Sarah, had many friends among New England's cultural elite, includ..."
91,Principles of Anatomy and Physiology,Gerard J. Tortora,Education,Technology,"This is a classic text book sought after by nurses at all stages of their careers. The manual guides nurses in the clinical application of the latest research findings, ensuring that theory and practice are integrated..."
